model,tp,fp,fn,precision,recall,f1,shd
BaselinePCMCI,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,2
IVPCMCI,5,0,1,1.0,0.8333333333333334,0.9090909090909091,1
